ID,Document ID,Document Title,Annex,Section L1,Section L2,Section L3,Section L4,Essential Requirement
192,2006/42/EC,Machinery Directive,I,4,1,2,5,"4.1.2.5. Lifting accessories and their components Lifting accessories and their components must be sized with due regard to fatigue and ageing processes for a number of operating cycles consistent with their expected life-span as specified in the operating conditions for a given application. Moreover: (a) the working coefficient of wire-rope/rope-end combinations must be chosen in such a way as to guarantee an adequate level of safety; this coefficient is, as a general rule, equal to 5. Ropes must not comprise any splices or loops other than at their ends; (b) where chains with welded links are used, they must be of the short-link type. The working coefficient of chains must be chosen in such a way as to guarantee an adequate level of safety; this coefficient is, as a general rule, equal to 4; (c) the working coefficient for textile ropes or slings is dependent on the material, method of manufacture, dimensions and use. This coefficient must be chosen in such a way as to guarantee an adequate level of safety; it is, as a general rule, equal to 7, provided the materials used are shown to be of very good quality and the method of manufacture is appropriate to the intended use. Should this not be the case, the coefficient is, as a general rule, set at a higher level in order to secure an equivalent level of safety. Textile ropes and slings must not include any knots, connections or splicing other than at the ends of the sling, except in the case of an endless sling; (d) all metallic components making up, or used with, a sling must have a working coefficient chosen in such a way as to guarantee an adequate level of safety; this coefficient is, as a general rule, equal to 4; (e) the maximum working load of a multilegged sling is determined on the basis of the working coefficient of the weakest leg, the number of legs and a reduction factor which depends on the slinging configuration; (f) in order to verify that an adequate working coefficient has been attained, the manufacturer or his authorised representative must, for each type of component referred to in (a), (b), (c) and (d), perform the appropriate tests or have such tests performed."
193,2006/42/EC,Machinery Directive,I,4,1,2,6,"4.1.2.6. Control of movements Devices for controlling movements must act in such a way that the machinery on which they are installed is kept safe. (a) Machinery must be designed and constructed or fitted with devices in such a way that the amplitude of movement of its components is kept within the specified limits. The operation of such devices must, where appropriate, be preceded by a warning. (b) Where several fixed or rail-mounted machines can be manoeuvred simultaneously in the same place, with risks of collision, such machinery must be designed and constructed in such a way as to make it possible to fit systems enabling these risks to be avoided. (c) Machinery must be designed and constructed in such a way that the loads cannot creep dangerously or fall freely and unexpectedly, even in the event of partial or total failure of the power supply or when the operator stops operating the machine. (d) It must not be possible, under normal operating conditions, to lower the load solely by friction brake, except in the case of machinery whose function requires it to operate in that way. (e) Holding devices must be designed and constructed in such a way that inadvertent dropping of the loads is avoided."
194,2006/42/EC,Machinery Directive,I,4,1,2,7,"4.1.2.7. Movements of loads during handling The operating position of machinery must be located in such a way as to ensure the widest possible view of trajectories of the moving parts, in order to avoid possible collisions with persons, equipment or other machinery which might be manoeuvring at the same time and liable to constitute a hazard. Machinery with guided loads must be designed and constructed in such a way as to prevent persons from being injured by movement of the load, the carrier or the counterweights, if any."
195,2006/42/EC,Machinery Directive,I,4,1,2,8,4.1.2.8. Machinery serving fixed landings
196,2006/42/EC,Machinery Directive,I,4,1,2,8,4.1.2.8.1. Movements of the carrier The movement of the carrier of machinery serving fixed landings must be rigidly guided to and at the landings. Scissor systems are also regarded as rigid guidance.
197,2006/42/EC,Machinery Directive,I,4,1,2,8,"4.1.2.8.2. Access to the carrier Where persons have access to the carrier, the machinery must be designed and constructed in such a way as to ensure that the carrier remains stationary during access, in particular while it is being loaded or unloaded. The machinery must be designed and constructed in such a way as to ensure that the difference in level between the carrier and the landing being served does not create a risk of tripping."
198,2006/42/EC,Machinery Directive,I,4,1,2,8,"4.1.2.8.3. Risks due to contact with the moving carrier Where necessary in order to fulfil the requirement expressed in the second paragraph of section 4.1.2.7, the travel zone must be rendered inaccessible during normal operation. When, during inspection or maintenance, there is a risk that persons situated under or above the carrier may be crushed between the carrier and any fixed parts, sufficient free space must be provided either by means of physical refuges or by means of mechanical devices blocking the movement of the carrier."
199,2006/42/EC,Machinery Directive,I,4,1,2,8,"4.1.2.8.4. Risk due to the load falling off the carrier Where there is a risk due to the load falling off the carrier, the machinery must be designed and constructed in such a way as to prevent this risk."
200,2006/42/EC,Machinery Directive,I,4,1,2,8,"4.1.2.8.5. Landings Risks due to contact of persons at landings with the moving carrier or other moving parts must be prevented. Where there is a risk due to persons falling into the travel zone when the carrier is not present at the landings, guards must be fitted in order to prevent this risk. Such guards must not open in the direction of the travel zone. They must be fitted with an interlocking device controlled by the position of the carrier that prevents: — hazardous movements of the carrier until the guards are closed and locked, — hazardous opening of a guard until the carrier has stopped at the corresponding landing."
201,2006/42/EC,Machinery Directive,I,4,1,3,,"4.1.3. Fitness for purpose When lifting machinery or lifting accessories are placed on the market or are first put into service, the manufacturer or his authorised representative must ensure, by taking appropriate measures or having them taken, that the machinery or the lifting accessories which are ready for use — whether manually or power-operated — can fulfil their specified functions safely. The static and dynamic tests referred to in section 4.1.2.3 must be performed on all lifting machinery ready to be put into service. Where the machinery cannot be assembled in the manufacturer's premises or in the premises of his authorised representative, the appropriate measures must be taken at the place of use. Otherwise, the measures may be taken either in the manufacturer's premises or at the place of use."
202,2006/42/EC,Machinery Directive,I,4,2,,,4.2. REQUIREMENTS FOR MACHINERY WHOSE POWER SOURCE IS OTHER THAN MANUAL EFFORT
203,2006/42/EC,Machinery Directive,I,4,2,1,,"4.2.1. Control of movements Hold-to-run control devices must be used to control the movements of the machinery or its equipment. However, for partial or complete movements in which there is no risk of the load or the machinery colliding, the said devices may be replaced by control devices authorising automatic stops at pre-selected positions without the operator holding a hold-to-run control device."
204,2006/42/EC,Machinery Directive,I,4,2,2,,"4.2.2. Loading control Machinery with a maximum working load of not less than 1 000 kilograms or an overturning moment of not less than 40 000 Nm must be fitted with devices to warn the driver and prevent dangerous movements in the event: — of overloading, either as a result of the maximum working load or the maximum working moment due to the load being exceeded, or — of the overturning moment being exceeded."
205,2006/42/EC,Machinery Directive,I,4,2,3,,"4.2.3. Installations guided by ropes Rope carriers, tractors or tractor carriers must be held by counterweights or by a device allowing permanent control of the tension."
206,2006/42/EC,Machinery Directive,I,4,3,,,4.3. INFORMATION AND MARKINGS
207,2006/42/EC,Machinery Directive,I,4,3,1,,"4.3.1. Chains, ropes and webbing Each length of lifting chain, rope or webbing not forming part of an assembly must bear a mark or, where this is not possible, a plate or irremovable ring bearing the name and address of the manufacturer or his authorised representative and the identifying reference of the relevant certificate. The certificate mentioned above must show at least the following information: (a) the name and address of the manufacturer and, if appropriate, his authorised representative; (b) a description of the chain or rope which includes: — its nominal size, — its construction, — the material from which it is made, and — any special metallurgical treatment applied to the material; (c) the test method used; (d) the maximum load to which the chain or rope should be subjected in service. A range of values may be given on the basis of the intended applications."
208,2006/42/EC,Machinery Directive,I,4,3,2,,"4.3.2. Lifting accessories Lifting accessories must show the following particulars: — identification of the material where this information is needed for safe use, — the maximum working load. In the case of lifting accessories on which marking is physically impossible, the particulars referred to in the first paragraph must be displayed on a plate or other equivalent means and securely affixed to the accessory. The particulars must be legible and located in a place where they are not liable to disappear as a result of wear or jeopardise the strength of the accessory."
209,2006/42/EC,Machinery Directive,I,4,3,3,,"4.3.3. Lifting machinery The maximum working load must be prominently marked on the machinery. This marking must be legible, indelible and in an un-coded form. Where the maximum working load depends on the configuration of the machinery, each operating position must be provided with a load plate indicating, preferably in diagrammatic form or by means of tables, the working load permitted for each configuration. Machinery intended for lifting goods only, equipped with a carrier which allows access to persons, must bear a clear and indelible warning prohibiting the lifting of persons. This warning must be visible at each place where access is possible."
210,2006/42/EC,Machinery Directive,I,4,4,,,4.4. INSTRUCTIONS
211,2006/42/EC,Machinery Directive,I,4,4,1,,"4.4.1. Lifting accessories Each lifting accessory or each commercially indivisible batch of lifting accessories must be accompanied by instructions setting out at least the following particulars: (a) the intended use; (b) the limits of use (particularly for lifting accessories such as magnetic or vacuum pads which do not fully comply with section 4.1.2.6(e)); (c) instructions for assembly, use and maintenance; (d) the static test coefficient used."
212,2006/42/EC,Machinery Directive,I,4,4,2,,"4.4.2. Lifting machinery Lifting machinery must be accompanied by instructions containing information on: (a) the technical characteristics of the machinery, and in particular: — the maximum working load and, where appropriate, a copy of the load plate or load table described in the second paragraph of section 4.3.3, — the reactions at the supports or anchors and, where appropriate, characteristics of the tracks, — where appropriate, the definition and the means of installation of the ballast; (b) the contents of the logbook, if the latter is not supplied with the machinery; (c) advice for use, particularly to offset the lack of direct vision of the load by the operator; (d) where appropriate, a test report detailing the static and dynamic tests carried out by or for the manufacturer or his authorised representative; (e) for machinery which is not assembled on the premises of the manufacturer in the form in which it is to be used, the necessary instructions for performing the measures referred to in section 4.1.3 before it is first put into service."
213,2006/42/EC,Machinery Directive,I,5,,,,"5. SUPPLEMENTARY ESSENTIAL HEALTH AND SAFETY REQUIREMENTS FOR MACHINERY INTENDED FOR UNDERGROUND WORK Machinery intended for underground work must meet all the essential health and safety requirements described in this chapter (see General Principles, point 4)."
214,2006/42/EC,Machinery Directive,I,5,1,,,5.1. RISKS DUE TO LACK OF STABILITY Powered roof supports must be designed and constructed in such a way as to maintain a given direction when moving and not slip before and while they come under load and after the load has been removed. They must be equipped with anchorages for the top plates of the individual hydraulic props.
215,2006/42/EC,Machinery Directive,I,5,2,,,5.2. MOVEMENT Powered roof supports must allow for unhindered movement of persons.
216,2006/42/EC,Machinery Directive,I,5,3,,,"5.3. CONTROL DEVICES The accelerator and brake controls for movement of machinery running on rails must be hand-operated. However, enabling devices may be foot-operated. The control devices of powered roof supports must be designed and positioned in such a way that, during displacement operations, operators are sheltered by a support in place. The control devices must be protected against any accidental release."
217,2006/42/EC,Machinery Directive,I,5,4,,,5.4. STOPPING Self-propelled machinery running on rails for use in underground work must be equipped with an enabling device acting on the circuit controlling the movement of the machinery such that movement is stopped if the driver is no longer in control of the movement.
218,2006/42/EC,Machinery Directive,I,5,5,,,5.5. FIRE The second indent of section 3.5.2 is mandatory in respect of machinery which comprises highly flammable parts. The braking system of machinery intended for use in underground workings must be designed and constructed in such a way that it does not produce sparks or cause fires. Machinery with internal combustion engines for use in underground workings must be fitted only with engines using fuel with a low vaporising pressure and which exclude any spark of electrical origin.
219,2006/42/EC,Machinery Directive,I,5,6,,,5.6. EXHAUST EMISSIONS Exhaust emissions from internal combustion engines must not be discharged upwards.
220,2006/42/EC,Machinery Directive,I,6,,,,"6. SUPPLEMENTARY ESSENTIAL HEALTH AND SAFETY REQUIREMENTS FOR MACHINERY PRESENTING PARTICULAR HAZARDS DUE TO THE LIFTING OF PERSONS Machinery presenting hazards due to the lifting of persons must meet all the relevant essential health and safety requirements described in this chapter (see General Principles, point 4)."
221,2006/42/EC,Machinery Directive,I,6,1,,,6.1. GENERAL
222,2006/42/EC,Machinery Directive,I,6,1,1,,"6.1.1. Mechanical strength The carrier, including any trapdoors, must be designed and constructed in such a way as to offer the space and strength corresponding to the maximum number of persons permitted on the carrier and the maximum working load. The working coefficients for components set out in sections 4.1.2.4 and 4.1.2.5 are inadequate for machinery intended for the lifting of persons and must, as a general rule, be doubled. Machinery intended for lifting persons or persons and goods must be fitted with a suspension or supporting system for the carrier designed and constructed in such a way as to ensure an adequate overall level of safety and to prevent the risk of the carrier falling. If ropes or chains are used to suspend the carrier, as a general rule, at least two independent ropes or chains are required, each with its own anchorage."
223,2006/42/EC,Machinery Directive,I,6,1,2,,"6.1.2. Loading control for machinery moved by power other than human strength The requirements of section 4.2.2 apply regardless of the maximum working load and overturning moment, unless the manufacturer can demonstrate that there is no risk of overloading or overturning."
224,2006/42/EC,Machinery Directive,I,6,2,,,"6.2. CONTROL DEVICES Where safety requirements do not impose other solutions, the carrier must, as a general rule, be designed and constructed in such a way that persons in the carrier have means of controlling upward and downward movements and, if appropriate, other movements of the carrier. In operation, those control devices must override any other devices controlling the same movement with the exception of emergency stop devices. The control devices for these movements must be of the hold-to-run type except where the carrier itself is completely enclosed."
225,2006/42/EC,Machinery Directive,I,6,3,,,6.3. RISKS TO PERSONS IN OR ON THE CARRIER
226,2006/42/EC,Machinery Directive,I,6,3,1,,"6.3.1. Risks due to movements of the carrier Machinery for lifting persons must be designed, constructed or equipped in such a way that the acceleration or deceleration of the carrier does not engender risks for persons."
227,2006/42/EC,Machinery Directive,I,6,3,2,,"6.3.2. Risk of persons falling from the carrier The carrier must not tilt to an extent which creates a risk of the occupants falling, including when the machinery and carrier are moving. Where the carrier is designed as a work station, provision must be made to ensure stability and to prevent hazardous movements. If the measures referred to in section 1.5.15 are not adequate, carriers must be fitted with a sufficient number of suitable anchorage points for the number of persons permitted on the carrier. The anchorage points must be strong enough for the use of personal protective equipment against falls from a height. Any trapdoor in floors or ceilings or side doors must be designed and constructed in such a way as to prevent inadvertent opening and must open in a direction that obviates any risk of falling, should they open unexpectedly."
228,2006/42/EC,Machinery Directive,I,6,3,3,,"6.3.3. Risk due to objects falling on the carrier Where there is a risk of objects falling on the carrier and endangering persons, the carrier must be equipped with a protective roof."
229,2006/42/EC,Machinery Directive,I,6,4,,,6.4. MACHINERY SERVING FIXED LANDINGS
230,2006/42/EC,Machinery Directive,I,6,4,1,,"6.4.1. Risks to persons in or on the carrier The carrier must be designed and constructed in such a way as to prevent risks due to contact between persons and/or objects in or on the carrier with any fixed or moving elements. Where necessary in order to fulfil this requirement, the carrier itself must be completely enclosed with doors fitted with an interlocking device that prevents hazardous movements of the carrier unless the doors are closed. The doors must remain closed if the carrier stops between landings where there is a risk of falling from the carrier. The machinery must be designed, constructed and, where necessary, equipped with devices in such a way as to prevent uncontrolled upward or downward movement of the carrier. These devices must be able to stop the carrier at its maximum working load and at the foreseeable maximum speed. The stopping action must not cause deceleration harmful to the occupants, whatever the load conditions."
231,2006/42/EC,Machinery Directive,I,6,4,2,,"6.4.2. Controls at landings Controls, other than those for emergency use, at landings must not initiate movements of the carrier when: — the control devices in the carrier are being operated, — the carrier is not at a landing."
232,2006/42/EC,Machinery Directive,I,6,4,3,,"6.4.3. Access to the carrier The guards at the landings and on the carrier must be designed and constructed in such a way as to ensure safe transfer to and from the carrier, taking into consideration the foreseeable range of goods and persons to be lifted."
233,2006/42/EC,Machinery Directive,I,6,5,,,"6.5. MARKINGS The carrier must bear the information necessary to ensure safety including: — the number of persons permitted on the carrier, — the maximum working load"
